ticker,name,premium_code,free_code
ALG,Alamo Group,EOD/ALG,GOOG/NYSE_ALG
AGI,Alamos Gold Inc.,EOD/AGI,GOOG/NYSE_AGI
ALK,Alaska Air Group,EOD/ALK,GOOG/NYSE_ALK
AIN,Albany International Corporation,EOD/AIN,GOOG/NYSE_AIN
ALB,Albemarle Corporation,EOD/ALB,GOOG/NYSE_ALB
ALU,Alcatel Lucent,EOD/ALU,GOOG/NYSE_ALU
AA,Alcoa Inc.,EOD/AA,GOOG/NYSE_AA
AA_B,Alcoa Inc.,,
ALR,Alere Inc.,EOD/ALR,GOOG/NYSE_ALR
ALR_B,Alere Inc.,,GOOG/NYSE_ALR_B
ALEX,Alexander & Baldwin Holdings,EOD/ALEX,GOOG/NYSE_ALEX
ALX,Alexander&#39;s,EOD/ALX,GOOG/NYSE_ALX
ARE,Alexandria Real Estate Equities,EOD/ARE,GOOG/NYSE_ARE
ARE_E,Alexandria Real Estate Equities,,GOOG/NYSE_ARE_E
BABA,Alibaba Group Holding Limited,EOD/BABA,
Y,Alleghany Corporation,EOD/Y,GOOG/NYSE_Y
ATI,Allegheny Technologies Incorporated,EOD/ATI,GOOG/NYSE_ATI
ALLE,Allegion plc,EOD/ALLE,GOOG/NYSE_ALLE
AGN,Allergan plc.,EOD/AGN,GOOG/NYSE_AGN
AGN_A,Allergan plc.,,
ALE,Allete,EOD/ALE,GOOG/NYSE_ALE
AKP,Alliance California Municipal Income Fund Inc,EOD/AKP,GOOG/NYSE_AKP
ADS,Alliance Data Systems Corporation,EOD/ADS,GOOG/NYSE_ADS
AFB,Alliance National Municipal Income Fund Inc,EOD/AFB,GOOG/NYSE_AFB
AOI,Alliance One International,EOD/AOI,GOOG/NYSE_AOI
AWF,Alliance World Dollar Government Fund II,EOD/AWF,GOOG/NYSE_AWF
AB,AllianceBernstein Holding L.P.,EOD/AB,GOOG/NYSE_AB
ACG,ALLIANCEBERNSTEIN INCOME FUND INC,EOD/ACG,GOOG/NYSE_ACG
LNT,Alliant Energy Corporation,EOD/LNT,GOOG/NYSE_LNT
NCV,AllianzGI Convertible & Income Fund,EOD/NCV,GOOG/NYSE_NCV
NCZ,AllianzGI Convertible & Income Fund II,EOD/NCZ,GOOG/NYSE_NCZ
ACV,AllianzGI Diversified Income & Convertible Fund,EOD/ACV,
NIE,AllianzGI Equity & Convertible Income Fund,EOD/NIE,GOOG/NYSE_NIE
NFJ,AllianzGI NFJ Dividend,EOD/NFJ,GOOG/NYSE_NFJ
AWH,Allied World Assurance Company Holdings,EOD/AWH,GOOG/NYSE_AWH
ALSN,Allison Transmission Holdings,EOD/ALSN,GOOG/NYSE_ALSN
ALL,Allstate Corporation (The),EOD/ALL,GOOG/NYSE_ALL
ALL_A,Allstate Corporation (The),,GOOG/NYSE_ALL_A
ALL_B,Allstate Corporation (The),,
ALL_C,Allstate Corporation (The),,
ALL_D,Allstate Corporation (The),,
ALL_E,Allstate Corporation (The),,
ALL_F,Allstate Corporation (The),,
ALLY,Ally Financial Inc.,EOD/ALLY,
ALLY_A,Ally Financial Inc.,,
ALLY_B,Ally Financial Inc.,,
BSI,Alon Blue Square Israel Ltd.,EOD/BSI,GOOG/NYSE_BSI
ALJ,Alon USA Energy,EOD/ALJ,GOOG/NYSE_ALJ
ALDW,Alon USA Partners,EOD/ALDW,GOOG/NYSE_ALDW
AGD,Alpine Global Dynamic Dividend Fund,EOD/AGD,GOOG/NYSE_AGD
AWP,Alpine Global Premier Properties Fund,EOD/AWP,GOOG/NYSE_AWP
AOD,Alpine Total Dynamic Dividend Fund,EOD/AOD,GOOG/NYSE_AOD
RESI,Altisource Residential Corporation,EOD/RESI,GOOG/NYSE_RESI
MO,Altria Group,EOD/MO,GOOG/NYSE_MO
ACH,Aluminum Corporation of China Limited,EOD/ACH,GOOG/NYSE_ACH
AMBR,Amber Road,EOD/AMBR,
ABEV,Ambev S.A.,EOD/ABEV,
AMC,AMC Entertainment Holdings,EOD/AMC,
AMFW,Amec Plc Ord,EOD/AMFW,
AEE,Ameren Corporation,EOD/AEE,GOOG/NYSE_AEE
AMRC,Ameresco,EOD/AMRC,GOOG/NYSE_AMRC
AMX,America Movil,EOD/AMX,GOOG/NYSE_AMX
AAT,American Assets Trust,EOD/AAT,GOOG/NYSE_AAT
AXL,American Axle & Manufacturing Holdings,EOD/AXL,GOOG/NYSE_AXL
ACC,American Campus Communities Inc,EOD/ACC,GOOG/NYSE_ACC
AEO,American Eagle Outfitters,EOD/AEO,GOOG/NYSE_AEO
AEP,American Electric Power Company,EOD/AEP,GOOG/NYSE_AEP
AEL,American Equity Investment Life Holding Company,EOD/AEL,GOOG/NYSE_AEL
AXP,American Express Company,EOD/AXP,GOOG/NYSE_AXP
AFA,American Financial Group,EOD/AFA,
AFG,American Financial Group,EOD/AFG,GOOG/NYSE_AFG
AFGE,American Financial Group,EOD/AFGE,
AFW,American Financial Group,EOD/AFW,
AMH,American Homes 4 Rent,EOD/AMH,GOOG/NYSE_AMH
AMH_A,American Homes 4 Rent,,
AMH_B,American Homes 4 Rent,,
AMH_C,American Homes 4 Rent,,
AIG,American International Group,EOD/AIG,GOOG/NYSE_AIG
AIG_WS,American International Group,EOD/AIG_WS,
AMID,American Midstream Partners,EOD/AMID,GOOG/NYSE_AMID
ARL,American Realty Investors,EOD/ARL,GOOG/NYSE_ARL
ARPI,American Residential Properties,EOD/ARPI,GOOG/NYSE_ARPI
AWR,American States Water Company,EOD/AWR,GOOG/NYSE_AWR
AMT,American Tower Corporation (REIT),EOD/AMT,GOOG/NYSE_AMT
AMT_A,American Tower Corporation (REIT),,
AMT_B,American Tower Corporation (REIT),,
AVD,American Vanguard Corporation,EOD/AVD,GOOG/NYSE_AVD
AWK,American Water Works,EOD/AWK,GOOG/NYSE_AWK
APU,AmeriGas Partners,EOD/APU,GOOG/NYSE_APU
AMP,AMERIPRISE FINANCIAL SERVICES,EOD/AMP,GOOG/NYSE_AMP
ABC,AmerisourceBergen Corporation (Holding Co),EOD/ABC,GOOG/NYSE_ABC
ANFI,Amira Nature Foods Ltd,EOD/ANFI,GOOG/NYSE_ANFI
AHS,AMN Healthcare Services Inc,EOD/AHS,GOOG/NYSE_AHS
AP,Ampco-Pittsburgh Corporation,EOD/AP,GOOG/NYSE_AP
APH,Amphenol Corporation,EOD/APH,GOOG/NYSE_APH
BETR,Amplify Snack Brands,EOD/BETR,
AXR,AMREP Corporation,EOD/AXR,GOOG/NYSE_AXR
AME,AMTEK,EOD/AME,GOOG/NYSE_AME
AFSI_A,AmTrust Financial Services,,
AFSI_B,AmTrust Financial Services,,
AFSI_C,AmTrust Financial Services,,
AFSI_D,AmTrust Financial Services,,
AFSS,AmTrust Financial Services,EOD/AFSS,
AFST,AmTrust Financial Services,EOD/AFST,
AEUA,Anadarko Petroleum Corporation,EOD/AEUA,
APC,Anadarko Petroleum Corporation,EOD/APC,GOOG/NYSE_APC
AU,AngloGold Ashanti Limited,EOD/AU,GOOG/NYSE_AU
BUD,Anheuser-Busch Inbev SA,EOD/BUD,GOOG/NYSE_BUD
AXE,Anixter International Inc.,EOD/AXE,GOOG/NYSE_AXE
NLY,Annaly Capital Management Inc,EOD/NLY,GOOG/NYSE_NLY
NLY_A,Annaly Capital Management Inc,,GOOG/NYSE_NLY_A
NLY_C,Annaly Capital Management Inc,,GOOG/NYSE_NLY_C
NLY_D,Annaly Capital Management Inc,,GOOG/NYSE_NLY_D
AM,Antero Midstream Partners LP,EOD/AM,GOOG/NYSE_AM
AR,Antero Resources Corporation,EOD/AR,GOOG/NYSE_AR
ANTM,Anthem,EOD/ANTM,
ANTX,Anthem,EOD/ANTX,
ANH,Anworth Mortgage Asset  Corporation,EOD/ANH,GOOG/NYSE_ANH
ANH_A,Anworth Mortgage Asset  Corporation,,GOOG/NYSE_ANH_A
ANH_B,Anworth Mortgage Asset  Corporation,,GOOG/NYSE_ANH_B
ANH_C,Anworth Mortgage Asset  Corporation,,
AON,Aon plc,EOD/AON,GOOG/NYSE_AON
APA,Apache Corporation,EOD/APA,GOOG/NYSE_APA
AIV,Apartment Investment and Management Company,EOD/AIV,GOOG/NYSE_AIV
AIV_A,Apartment Investment and Management Company,,
AIV_Z,Apartment Investment and Management Company,,GOOG/NYSE_AIV_Z
ARI,Apollo Commercial Real Estate Finance,EOD/ARI,GOOG/NYSE_ARI
ARI_A,Apollo Commercial Real Estate Finance,,GOOG/NYSE_ARI_A
APO,Apollo Global Management,EOD/APO,GOOG/NYSE_APO
AIB,Apollo Investment Corporation,EOD/AIB,
AIY,Apollo Investment Corporation,EOD/AIY,
AMTG,Apollo Residential Mortgage,EOD/AMTG,GOOG/NYSE_AMTG
AMTG_A,Apollo Residential Mortgage,,
AFT,Apollo Senior Floating Rate Fund Inc.,EOD/AFT,GOOG/NYSE_AFT
AIF,Apollo Tactical Income Fund Inc.,EOD/AIF,GOOG/NYSE_AIF
APLE,Apple Hospitality REIT,EOD/APLE,
AIT,Applied Industrial Technologies,EOD/AIT,GOOG/NYSE_AIT
ATR,AptarGroup,EOD/ATR,GOOG/NYSE_ATR
WTR,Aqua America,EOD/WTR,GOOG/NYSE_WTR
ARMK,Aramark,EOD/ARMK,
ABR,Arbor Realty Trust,EOD/ABR,GOOG/NYSE_ABR
ABR_A,Arbor Realty Trust,,GOOG/NYSE_ABR_A
ABR_B,Arbor Realty Trust,,
ABR_C,Arbor Realty Trust,,
ABRN,Arbor Realty Trust,EOD/ABRN,
ARC,ARC Document Solutions,EOD/ARC,GOOG/NYSE_ARC
ARCX,Arc Logistic Partners LP,EOD/ARCX,GOOG/NYSE_ARCX
MT,ArcelorMittal,EOD/MT,GOOG/NYSE_MT
MTCN,ArcelorMittal,EOD/MTCN,
ARH_C,Arch Capital Group Ltd.,,GOOG/NYSE_ARH_C
ACI,Arch Coal,EOD/ACI,GOOG/NYSE_ACI
ADM,Archer-Daniels-Midland Company,EOD/ADM,GOOG/NYSE_ADM
AROC,Archrock,EOD/AROC,
ARCO,Arcos Dorados Holdings Inc.,EOD/ARCO,GOOG/NYSE_ARCO
ASC,Ardmore Shipping Corporation,EOD/ASC,GOOG/NYSE_ASC
AFC,Ares Capital Corporation,EOD/AFC,GOOG/NYSE_AFC
ARU,Ares Capital Corporation,EOD/ARU,
ACRE,Ares Commercial Real Estate Corporation,EOD/ACRE,GOOG/NYSE_ACRE
ARDC,Ares Dynamic Credit Allocation Fund,EOD/ARDC,GOOG/NYSE_ARDC
ARES,Ares Management L.P.,EOD/ARES,
AGX,Argan,EOD/AGX,
ANET,Arista Networks,EOD/ANET,
AI,Arlington Asset Investment Corp,EOD/AI,GOOG/NYSE_AI
AIC,Arlington Asset Investment Corp,EOD/AIC,
AIW,Arlington Asset Investment Corp,EOD/AIW,
AHH,Armada Hoffler Properties,EOD/AHH,GOOG/NYSE_AHH
ARR,ARMOUR Residential REIT,EOD/ARR,GOOG/NYSE_ARR
ARR_A,ARMOUR Residential REIT,,GOOG/NYSE_ARR_A
ARR_B,ARMOUR Residential REIT,,GOOG/NYSE_ARR_B
AWI,Armstrong World Industries Inc,EOD/AWI,GOOG/NYSE_AWI
ARW,Arrow Electronics,EOD/ARW,GOOG/NYSE_ARW
AJG,Arthur J. Gallagher & Co.,EOD/AJG,GOOG/NYSE_AJG
APAM,Artisan Partners Asset Management Inc.,EOD/APAM,GOOG/NYSE_APAM
ASA,ASA Gold and Precious Metals Limited,EOD/ASA,GOOG/NYSE_ASA
ABG,Asbury Automotive Group Inc,EOD/ABG,GOOG/NYSE_ABG
AHP,Ashford Hospitality Prime,EOD/AHP,
AHT,Ashford Hospitality Trust Inc,EOD/AHT,GOOG/NYSE_AHT
AHT_A,Ashford Hospitality Trust Inc,,GOOG/NYSE_AHT_A
AHT_D,Ashford Hospitality Trust Inc,,GOOG/NYSE_AHT_D
AHT_E,Ashford Hospitality Trust Inc,,GOOG/NYSE_AHT_E
ASH,Ashland Inc.,EOD/ASH,GOOG/NYSE_ASH
APB,Asia Pacific Fund,EOD/APB,GOOG/NYSE_APB
GRR,Asia Tigers Fund,EOD/GRR,GOOG/NYSE_GRR
ASPN,Aspen Aerogels,EOD/ASPN,
AHL,Aspen Insurance Holdings Limited,EOD/AHL,GOOG/NYSE_AHL
AHL_A,Aspen Insurance Holdings Limited,,GOOG/NYSE_AHL_A
AHL_B,Aspen Insurance Holdings Limited,,GOOG/NYSE_AHL_B
AHL_C,Aspen Insurance Holdings Limited,,
ASB,Associated Banc-Corp,EOD/ASB,
ASB_B,Associated Banc-Corp,,
ASB_C,Associated Banc-Corp,,
AC_WD,Associated Capital Group,EOD/AC_WD,
AIZ,Assurant,EOD/AIZ,GOOG/NYSE_AIZ
AGO,Assured Guaranty Ltd.,EOD/AGO,GOOG/NYSE_AGO
AGO_B,Assured Guaranty Ltd.,,GOOG/NYSE_AGO_B
AGO_E,Assured Guaranty Ltd.,,GOOG/NYSE_AGO_E
AGO_F,Assured Guaranty Ltd.,,GOOG/NYSE_AGO_F
AF,Astoria Financial Corporation,EOD/AF,GOOG/NYSE_AF
AF_C,Astoria Financial Corporation,,GOOG/NYSE_AF_C
AZN,Astrazeneca PLC,EOD/AZN,GOOG/NYSE_AZN
T,AT&T Inc.,EOD/T,GOOG/NYSE_T
ATTO,Atento S.A.,EOD/ATTO,
AT,Atlantic Power Corporation,EOD/AT,GOOG/NYSE_AT
ATLS,Atlas Energy,EOD/ATLS,GOOG/NYSE_ATLS
ARP,Atlas Resource Partners,EOD/ARP,GOOG/NYSE_ARP
ARP_D,Atlas Resource Partners,,
ARP_E,Atlas Resource Partners,,
ATO,Atmos Energy Corporation,EOD/ATO,GOOG/NYSE_ATO
ATW,Atwood Oceanics,EOD/ATW,GOOG/NYSE_ATW
AUO,AU Optronics Corp,EOD/AUO,GOOG/NYSE_AUO
ATHM,Autohome Inc.,EOD/ATHM,
ALV,Autoliv,EOD/ALV,GOOG/NYSE_ALV
AN,AutoNation,EOD/AN,GOOG/NYSE_AN
AZO,AutoZone,EOD/AZO,GOOG/NYSE_AZO
AVB,AvalonBay Communities,EOD/AVB,GOOG/NYSE_AVB
ACP,Avenue Income Credit Strategies Fund,EOD/ACP,GOOG/NYSE_ACP
AVY,Avery Dennison Corporation,EOD/AVY,GOOG/NYSE_AVY
AVG,AVG Technologies N.V.,EOD/AVG,GOOG/NYSE_AVG
AVH,Avianca Holdings S.A.,EOD/AVH,GOOG/NYSE_AVH
AVA,Avista Corporation,EOD/AVA,GOOG/NYSE_AVA
AV,Aviva plc,EOD/AV,GOOG/NYSE_AV
AVV,Aviva plc,EOD/AVV,GOOG/NYSE_AVV
AVT,Avnet,EOD/AVT,GOOG/NYSE_AVT
AVOL,Avolon Holdings Limited,EOD/AVOL,
AVP,Avon Products,EOD/AVP,GOOG/NYSE_AVP
AVX,AVX Corporation,EOD/AVX,GOOG/NYSE_AVX
AXTA,Axalta Coating Systems Ltd.,EOD/AXTA,
AXLL,Axiall Corporation,EOD/AXLL,GOOG/NYSE_AXLL
AXS,Axis Capital Holdings Limited,EOD/AXS,GOOG/NYSE_AXS
AXS_C,Axis Capital Holdings Limited,,GOOG/NYSE_AXS_C
AXS_D,Axis Capital Holdings Limited,,
AZUR,Azure Midstream Partners,EOD/AZUR,
AZZ,AZZ Inc.,EOD/AZZ,GOOG/NYSE_AZZ
BGS,B&G Foods,EOD/BGS,GOOG/NYSE_BGS
BW,Babcock,EOD/BW,
MCI,Babson Capital Corporate Investors,EOD/MCI,GOOG/NYSE_MCI
BGH,Babson Capital Global Short Duration High Yield Fund,EOD/BGH,GOOG/NYSE_BGH
MPV,Babson Capital Participation Investors,EOD/MPV,GOOG/NYSE_MPV
BMI,Badger Meter,EOD/BMI,GOOG/NYSE_BMI
BHI,Baker Hughes Incorporated,EOD/BHI,GOOG/NYSE_BHI
BBN,BalckRock Taxable Municipal Bond Trust,EOD/BBN,GOOG/NYSE_BBN
BLL,Ball Corporation,EOD/BLL,GOOG/NYSE_BLL
BGE_B,Baltimore Gas & Electric Company,,GOOG/NYSE_BGE_B
BANC,Banc of California,EOD/BANC,
BANC_C,Banc of California,,
BANC_D,Banc of California,,
BOCA,Banc of California,EOD/BOCA,
BBVA,Banco Bilbao Viscaya Argentaria S.A.,EOD/BBVA,GOOG/NYSE_BBVA
BBD,Banco Bradesco Sa,EOD/BBD,GOOG/NYSE_BBD
BBDO,Banco Bradesco Sa,EOD/BBDO,GOOG/NYSE_BBDO
BCH,Banco De Chile,EOD/BCH,GOOG/NYSE_BCH
BLX,Banco Latinoamericano de Comercio Exterior,EOD/BLX,GOOG/NYSE_BLX
BSBR,Banco Santander Brasil SA,EOD/BSBR,GOOG/NYSE_BSBR
BSAC,Banco Santander Chile,EOD/BSAC,GOOG/NYSE_BSAC
SAN,Banco Santander,EOD/SAN,GOOG/NYSE_SAN
SAN_A,Banco Santander,,GOOG/NYSE_SAN_A
SAN_B,Banco Santander,,GOOG/NYSE_SAN_B
SAN_C,Banco Santander,,GOOG/NYSE_SAN_C
SAN_I,Banco Santander,,GOOG/NYSE_SAN_I
CIB,BanColombia S.A.,EOD/CIB,GOOG/NYSE_CIB
BXS,BancorpSouth,EOD/BXS,GOOG/NYSE_BXS
BAC,Bank of America Corporation,EOD/BAC,GOOG/NYSE_BAC
BAC_WS_A,Bank of America Corporation,EOD/BAC_WS_A,
BAC_WS_B,Bank of America Corporation,EOD/BAC_WS_B,
BAC_D,Bank of America Corporation,,GOOG/NYSE_BAC_D
BAC_E,Bank of America Corporation,,GOOG/NYSE_BAC_E
BAC_I,Bank of America Corporation,,GOOG/NYSE_BAC_I
BAC_L,Bank of America Corporation,,GOOG/NYSE_BAC_L
BAC_W,Bank of America Corporation,,GOOG/NYSE_BAC_W
BAC_Y,Bank of America Corporation,,GOOG/NYSE_BAC_Y
BAC_Z,Bank of America Corporation,,GOOG/NYSE_BAC_Z
BML_G,Bank of America Corporation,,GOOG/NYSE_BML_G
BML_H,Bank of America Corporation,,GOOG/NYSE_BML_H
BML_I,Bank of America Corporation,,GOOG/NYSE_BML_I
BML_J,Bank of America Corporation,,GOOG/NYSE_BML_J
BML_L,Bank of America Corporation,,GOOG/NYSE_BML_L
BOH,Bank of Hawaii Corporation,EOD/BOH,GOOG/NYSE_BOH
BMO,Bank Of Montreal,EOD/BMO,GOOG/NYSE_BMO
BK,Bank Of New York Mellon Corporation (The),EOD/BK,GOOG/NYSE_BK
BK_C,Bank Of New York Mellon Corporation (The),,GOOG/NYSE_BK_C
BNS,Bank of Nova Scotia (The),EOD/BNS,GOOG/NYSE_BNS
RATE,Bankrate,EOD/RATE,GOOG/NYSE_RATE
BKU,BankUnited,EOD/BKU,GOOG/NYSE_BKU
BCS,Barclays PLC,EOD/BCS,GOOG/NYSE_BCS
BCS_,Barclays PLC,,GOOG/NYSE_BCS_
BCS_A,Barclays PLC,,GOOG/NYSE_BCS_A
BCS_C,Barclays PLC,,GOOG/NYSE_BCS_C
BCS_D,Barclays PLC,,GOOG/NYSE_BCS_D
BNED,Barnes & Noble Education,EOD/BNED,
BKS,Barnes & Noble,EOD/BKS,GOOG/NYSE_BKS
B,Barnes Group,EOD/B,GOOG/NYSE_B
CUDA,Barracuda Networks,EOD/CUDA,GOOG/NYSE_CUDA
ABX,Barrick Gold Corporation,EOD/ABX,GOOG/NYSE_ABX
BAS,Basic Energy Services,EOD/BAS,GOOG/NYSE_BAS
BXLT,Baxalta Incorporated,EOD/BXLT,
BAX,Baxter International Inc.,EOD/BAX,GOOG/NYSE_BAX
BTE,Baytex Energy Corp,EOD/BTE,GOOG/NYSE_BTE
BBT,BB&T Corporation,EOD/BBT,GOOG/NYSE_BBT
BBT_D,BB&T Corporation,,GOOG/NYSE_BBT_D
BBT_E,BB&T Corporation,,GOOG/NYSE_BBT_E
BBT_F,BB&T Corporation,,GOOG/NYSE_BBT_F
BBT_G,BB&T Corporation,,
BFR,BBVA Banco Frances S.A.,EOD/BFR,GOOG/NYSE_BFR
BBX,BBX Capital Corporation,EOD/BBX,GOOG/NYSE_BBX
BCE,BCE,EOD/BCE,GOOG/NYSE_BCE
TZF,Bear Stearns Depositor,EOD/TZF,GOOG/NYSE_TZF
BZH,Beazer Homes USA,EOD/BZH,GOOG/NYSE_BZH
BDX,Becton,EOD/BDX,GOOG/NYSE_BDX
BDC,Belden Inc,EOD/BDC,GOOG/NYSE_BDC
BXE,Bellatrix Exploration Ltd,EOD/BXE,
BEL,Belmond Ltd.,EOD/BEL,
BMS,Bemis Company,EOD/BMS,GOOG/NYSE_BMS
BHE,Benchmark Electronics,EOD/BHE,GOOG/NYSE_BHE
BRK_A,Berkshire Hathaway Inc.,EOD/BRK_A,GOOG/NYSE_BRK_A
BRK_B,Berkshire Hathaway Inc.,EOD/BRK_B,GOOG/NYSE_BRK_B
BHLB,Berkshire Hills Bancorp,EOD/BHLB,GOOG/NYSE_BHLB
BBY,Best Buy Co.,EOD/BBY,GOOG/NYSE_BBY
BGCA,BGC Partners,EOD/BGCA,
BHP,BHP Billiton Limited,EOD/BHP,GOOG/NYSE_BHP
BBL,BHP Billiton plc,EOD/BBL,GOOG/NYSE_BBL
BIG,Big Lots,EOD/BIG,GOOG/NYSE_BIG
BH,Biglari Holdings Inc.,EOD/BH,GOOG/NYSE_BH
BBG,Bill Barrett Corporation,EOD/BBG,GOOG/NYSE_BBG
BIOA,BioAmber Inc.,EOD/BIOA,
BIOA_WS,BioAmber Inc.,EOD/BIOA_WS,
BMR,Biomed Realty Trust,EOD/BMR,GOOG/NYSE_BMR
BIO,Bio-Rad Laboratories,EOD/BIO,GOOG/NYSE_BIO
BIO_B,Bio-Rad Laboratories,EOD/BIO_B,GOOG/NYSE_BIO_B
BITA,Bitauto Holdings Limited,EOD/BITA,GOOG/NYSE_BITA
BKH,Black Hills Corporation,EOD/BKH,GOOG/NYSE_BKH
BKFS,Black Knight Financial Services,EOD/BKFS,
BSM,Black Stone Minerals,EOD/BSM,
BJZ,Blackrock California Municipal 2018 Term Trust,EOD/BJZ,GOOG/NYSE_BJZ
BFZ,BlackRock California Municipal Income Trust,EOD/BFZ,GOOG/NYSE_BFZ
CII,Blackrock Capital and Income Strategies Fund Inc,EOD/CII,GOOG/NYSE_CII
BHK,Blackrock Core Bond Trust,EOD/BHK,GOOG/NYSE_BHK
HYT,Blackrock Corporate High Yield Fund,EOD/HYT,GOOG/NYSE_HYT
BTZ,BlackRock Credit Allocation Income Trust,EOD/BTZ,GOOG/NYSE_BTZ
DSU,Blackrock Debt Strategies Fund,EOD/DSU,GOOG/NYSE_DSU
BHL,Blackrock Defined Opportunity Credit Trust,EOD/BHL,GOOG/NYSE_BHL
BGR,BlackRock Energy and Resources Trust,EOD/BGR,GOOG/NYSE_BGR
BDJ,Blackrock Enhanced Equity Dividend Trust,EOD/BDJ,GOOG/NYSE_BDJ
